scenario,method,expanded_nodes,fringe_size,depth,path
Scenario 17,DFS,2380,203,152,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->down->right->up->left->down->left->up->right->up->left
Scenario 17,UCS,24,18,4,left->up->up->left
Scenario 17,A*,23,18,4,left->up->up->left
Scenario 17,h3,4,6,4,left->up->up->left
Scenario 18,BFS,26,18,4,right->down->left->up
Scenario 18,DFS,93362,203,166,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->up->left->down->left->down->right->up->left->up->right->down->left->down->right->up->right->down->left->up->up->right->down->left->up->right->down->down->left->left->up->right->up->left
Scenario 18,UCS,26,18,4,right->down->left->up
Scenario 18,A*,25,18,4,right->down->left->up
Scenario 18,h3,4,6,4,right->down->left->up
Scenario 19,BFS,54,40,6,up->up->left->down->left->up
Scenario 19,DFS,21369,203,162,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->down->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->down->left->up->up->right->down->down->left->up->up
Scenario 19,UCS,54,40,6,up->up->left->down->left->up
Scenario 19,A*,53,39,6,up->up->left->down->left->up
Scenario 19,h3,6,7,6,up->up->left->down->left->up
Scenario 20,BFS,6,8,2,up->left
Scenario 20,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 20,UCS,6,8,2,up->left
Scenario 20,A*,5,8,2,up->left
Scenario 20,h3,2,5,2,up->left
Scenario 21,BFS,6,8,2,up->left
Scenario 21,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 21,UCS,6,8,2,up->left
Scenario 21,A*,5,8,2,up->left
Scenario 21,h3,2,5,2,up->left
Scenario 22,BFS,10,8,2,left->up
Scenario 22,DFS,30,41,30,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up
Scenario 22,UCS,10,8,2,left->up
